nu,idFile,nu.1,states/code,states/name,states/nu,states/forbidden/into/bool/v,states/forbidden/into/bool/uv,states/forbidden/into/comment/en,states/forbidden/into/comment/en.1,states/forbidden/into/comment/en.2,states/forbidden/into/comment/en.3,states/quara/into/where/e,states/quara/into/where/v,states/quara/into/where/uv,states/quara/into/dur/e,states/quara/into/dur/v,states/quara/into/dur/uv,states/quara/into/comment/en,states/quara/into/comment/de,states/quara/into/comment/fr,states/quara/into/comment/es,states/test/into/pcr/e,states/test/into/pcr/v,states/test/into/pcr/uv,states/test/into/or,states/test/into/ag/e,states/test/into/ag/v,states/test/into/ag/uv,states/test/into/comment/en,states/test/into/comment/de,states/test/into/comment/fr,states/test/into/comment/es,states/link/into,,.1,.2,.3,.4,Unnamed: 39,Unnamed: 40,Unnamed: 41
AF,AF_States,11,HEL,Helmand,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,12,HER,Herāt,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,13,JOW,Jowzjān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,14,KAN,Kandahār,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,15,KHO,Khōst,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,16,KNR,Kunar,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,17,KDZ,Kunduz,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,18,KAB,Kābul,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,19,KAP,Kāpīsā,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,20,LAG,Laghmān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,21,LOG,Lōgar,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,22,NAN,Nangarhār,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,23,NIM,Nīmrōz,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,24,NUR,Nūristān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,25,PIA,Paktiyā,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,26,PKA,Paktīkā,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,27,PAN,Panjshayr,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,28,PAR,Parwān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,29,SAM,Samangān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,30,SAR,Sar-e Pul,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,31,TAK,Takhār,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,32,URU,Uruzgān,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,33,WAR,Wardak,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AF,AF_States,34,ZAB,Zābul,,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,AF_States-->asdf,,,,,,,,,,,,,,,,,
AX,AX_States,35,AX,AX,,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,AX_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,36,1,Berat,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,37,9,Dibër,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,38,2,Durrës,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,39,3,Elbasan,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,40,4,Fier,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,41,5,Gjirokastër,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,42,6,Korçë,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,43,7,Kukës,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,44,8,Lezhë,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,45,10,Shkodër,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,46,11,Tiranë,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
AL,AL_States,47,12,Vlorë,,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,AL_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,48,1,Adrar,,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,49,16,Alger,,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,50,23,Annaba,,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,51,44,Aïn Defla,,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,52,46,Aïn Témouchent,,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,53,5,Batna,,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,54,7,Biskra,,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,55,9,Blida,,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,56,34,Bordj Bou Arréridj,ALA,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
DZ,DZ_States,57,10,Bouira,ALB,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,DZ_States-->asdf,,,,,,,,,,,,,,,,,
